id,title,titleeng,titlerus,whours1,whours2,is_mandatory,urlru,urlgeo,urleng
97,წითელი ხიდის სასაზღვრო პუნქტი,Red Bridge Customs Post,Красный Мост ТПП,"41.329572, 45.069314",90,1,Krasnyj_Most_TPP,tsiteli_khidis_sasazghvro_punkti,Red_Bridge_Customs_Post
98,რკონის მონასტერი,Rkoni Monastery,Ркони  Монастырь ,"41.807557, 44.225260",90,1,Rkoni_Monastyr,rkonis_monasteri,Rkoni_Monastery
99,რუსთავი,Rustavi,Рустави,"41.554928, 44.983774",60,1,Rustavi,rustavi,Rustavi
100,სადახლო,Sadakhlo,Садахло,"41.244512, 44.795820",90,1,Sadahlo,sadakhlo,Sadakhlo
101,საგარეჯო,Sagarejo,Сагареджо,"41.724450, 45.326921",90,1,Sagaredzho,sagarejo,Sagarejo
102,საგურამო,Saguramo,Сагурамо,"41.901945, 44.761786",60,1,Saguramo,saguramo,Saguramo
103,საირმე,Sairme,Саирме,"41.906341, 42.744005",120,1,Sairme,sairme,Sairme
104,სამების მთა,Sameba Mountain,Гора Самеба,"41.631779, 41.694003",0,1,Gora_Sameba,samebis_mta,Sameba_Mountain
105,სამთავროს მონასტერი,Samtavro Monastery,Самтавро Монастырь ,"41.846531, 44.719057",60,1,Samtavro_Monastyr,samtavros_monasteri,Samtavro_Monastery
106,სამტრედია,Samtredia,Самтредиа,"42.161616, 42.343019",60,1,Samtredia,samtredia,Samtredia
107,სარფი,Sarpi,Сарпи,"41.523849, 41.548737",90,1,Sarpi,sarpi,Sarpi
108,სათაფლია,Sataplia,Сатаплия,"42.312067, 42.673997",60,1,Sataplija,sataplia,Sataplia
109,სენაკი,Senaki,Сенаки,"42.266945, 42.063049",60,1,Senaki,senaki,Senaki
110,შეკვეთილი,Shekvetili,Шекветили,"41.931517, 41.772514",60,1,Shekvetili,shekvetili,Shekvetili
111,შიომღვიმის მონასტერი,Shiomghvime Monastery,Шиомгвиме  Монастырь ,"41.861913, 44.640253",90,1,Shiomgvime_Monastyr,shiomghvimis_monasteri,Shiomghvime_Monastery
112,სნო,Sno,Сно,"42.605898, 44.638360",60,1,Sno,sno,Sno
113,სტალინის მუზეუმი,Stalin Museum,Музей Сталина,"41.986931, 44.112849",90,1,Muzej_Stalina,stalinis_muzeumi,Stalin_Museum
114,სტეფანწმინდა (ყაზბეგი),Stepantsminda (Kazbegi),Степанцминда (Казбеги),"42.658325, 44.640967",100,1,Stepancminda_(Kazbegi),stepantsminda_(qazbegi),Stepantsminda_(Kazbegi)
115,ყაზბეგი (სტაფანწმინდა),Kazbegi (Stepantsminda),Казбеги (Степанцминда),"42.655879, 44.640420",100,1,Kazbegi_(Stepancminda),qazbegi_(stapantsminda),Kazbegi_(Stepantsminda)
116,სურამი,Surami,Сурами,"42.028370, 43.552613",60,1,Surami,surami,Surami
117,სვეტიცხოველი,Svetitskhoveli Cathedral,Светицховели,"41.842451, 44.720196",120,1,Svetichoveli,svetitskhoveli,Svetitskhoveli_Cathedral
